Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
scca1029_154_039_S30_L001_R1_001_trimmed_1P	scca1029_154_039_S30_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32470078.0	0.0	3-151	40.0	89.32268974762225	132.11777397023806	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca1029_154_039_S30_L001_R1_001_trimmed_1U	scca1029_154_039_S30_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8219866.0	0.0	3-151	41.0	90.158773085703	91.55645311006286	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca1029_154_039_S30_L001_R2_001_trimmed_2P	scca1029_154_039_S30_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32470078.0	0.0	3-151	40.0	87.90751254222712	118.94804536656795	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca1029_154_039_S30_L001_R2_001_trimmed_2U	scca1029_154_039_S30_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	506837.0	0.0	3-151	41.0	75.14871653479224	40.584951374899624	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
scca1039_142_051_S31_L001_R1_001_trimmed_1P	scca1039_142_051_S31_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29464619.0	0.0	3-151	40.0	91.0846110503161	132.05473500268238	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
scca1039_142_051_S31_L001_R1_001_trimmed_1U	scca1039_142_051_S31_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4593103.0	0.0	3-151	41.0	91.11816766671849	91.28524202483594	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
scca1039_142_051_S31_L001_R2_001_trimmed_2P	scca1039_142_051_S31_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29464619.0	0.0	3-151	40.0	89.4067844717315	117.86525622476232	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
scca1039_142_051_S31_L001_R2_001_trimmed_2U	scca1039_142_051_S31_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	456434.0	0.0	3-151	41.0	74.63052980556498	39.270527611878165	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
scca1046_143_050_S23_L001_R1_001_trimmed_1P	scca1046_143_050_S23_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32923910.0	0.0	3-151	40.0	90.11165084187903	131.24409178618214	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
scca1046_143_050_S23_L001_R1_001_trimmed_1U	scca1046_143_050_S23_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11499675.0	0.0	3-151	41.0	90.81660315678893	92.64134160313226	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
scca1046_143_050_S23_L001_R2_001_trimmed_2P	scca1046_143_050_S23_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32923910.0	0.0	3-151	40.0	88.89657009801658	121.59295457313544	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
scca1046_143_050_S23_L001_R2_001_trimmed_2U	scca1046_143_050_S23_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	514812.0	0.0	3-151	40.0	77.25338039168079	43.4499739710807	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
