Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SCCA1017_147_046_S45_L002_R1_001_trimmed_1P	SCCA1017_147_046_S45_L002_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100546621.0	0.0	3-151	39.0	88.42144395003292	135.08226124277215	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1017_147_046_S45_L002_R1_001_trimmed_1U	SCCA1017_147_046_S45_L002_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12788079.0	0.0	3-151	41.0	91.15790302066866	93.84534580995316	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1017_147_046_S45_L002_R2_001_trimmed_2P	SCCA1017_147_046_S45_L002_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100546621.0	0.0	3-151	39.0	87.96331281519973	131.2007840024778	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1017_147_046_S45_L002_R2_001_trimmed_2U	SCCA1017_147_046_S45_L002_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1116965.0	0.0	3-151	40.0	82.53975505221669	63.00686324101471	pass	pass	pass	pass	warn	pass	pass	warn	pass	warn	pass
SCCA1018_157_036_S30_L002_R1_001_trimmed_1P	SCCA1018_157_036_S30_L002_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78646036.0	0.0	3-151	40.0	90.4977203234169	134.4556788087832	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1018_157_036_S30_L002_R1_001_trimmed_1U	SCCA1018_157_036_S30_L002_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11876328.0	0.0	3-151	41.0	92.14340968443531	94.26364478987108	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SCCA1018_157_036_S30_L002_R2_001_trimmed_2P	SCCA1018_157_036_S30_L002_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78646036.0	0.0	3-151	40.0	89.45513033857755	128.3424388865575	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1018_157_036_S30_L002_R2_001_trimmed_2U	SCCA1018_157_036_S30_L002_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	980674.0	0.0	3-151	42.0	80.42084497702527	59.413607376151504	pass	pass	pass	pass	warn	pass	pass	warn	pass	warn	pass
SCCA1020_135_058_S46_L002_R1_001_trimmed_1P	SCCA1020_135_058_S46_L002_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98502710.0	0.0	3-151	40.0	89.3812331893261	135.5680591528903	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1020_135_058_S46_L002_R1_001_trimmed_1U	SCCA1020_135_058_S46_L002_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8073561.0	0.0	3-151	41.0	90.23805698251054	90.64306146940612	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SCCA1020_135_058_S46_L002_R2_001_trimmed_2P	SCCA1020_135_058_S46_L002_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98502710.0	0.0	3-151	40.0	88.28834693979528	125.52613673268482	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1020_135_058_S46_L002_R2_001_trimmed_2U	SCCA1020_135_058_S46_L002_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1123554.0	0.0	3-151	41.0	78.01777430200129	53.45588196027961	pass	pass	pass	pass	warn	pass	pass	warn	pass	warn	pass
