#Position (bp)	Coverage
4.08526901E8	2.754892548305259
4.12046148E8	2.342759074151507
4.187903935E8	2.205416243872624
4.258288875E8	2.232862029860365
4.328673815E8	2.247439438038876
4.399058755E8	2.203191620252855
4.469443695E8	2.338564897547686
4.539828635E8	2.2833834908433537
4.610213575E8	2.9053263382763417
4.680598515E8	2.2821617806309136
4.750983455E8	2.2339294457024472
4.821368395E8	2.232610981837876
4.891753335E8	2.269912143137438
4.962138275E8	2.286474208829332
5.032523215E8	2.258946587153445
5.102908155E8	2.3037097140382587
5.173293095E8	2.2893306437428236
5.243678035E8	2.2779337454858952
5.314062975E8	2.249433330482345
5.384447915E8	2.310069739350492
5.454832855E8	2.314228157330247
5.525217795E8	2.2709784223727407
5.595602735E8	2.2691092725233553
5.665987675E8	2.2775680422544937
5.736372615E8	2.2774762612570245
5.806757555E8	2.253099739802293
5.877142495E8	2.282331419192799
5.918006215E8	2.28007229446771
5.953198685E8	2.2508964737907173
6.017912375E8	3.7816189088177103
6.088297315E8	2.2372010262422615
6.158682255E8	2.2303251235278454
6.229067195E8	2.2072173393910686
6.299452135E8	2.2433705278430303
6.369837075E8	2.2578075650842355
6.440222015E8	2.2590734608852405
6.510606955E8	2.244078207639305
6.580991895E8	2.3264526473987193
6.651376835E8	2.3130469387343373
6.721761775E8	2.3176781851344903
6.792146715E8	2.2388922971306076
6.862531655E8	2.3414905233988974
6.932916595E8	2.2648272485562964
7.003301535E8	2.2750909498537615
7.073686475E8	2.2967600739590033
7.144071415E8	2.261214828058389
7.214456355E8	2.276668133836585
7.284841295E8	2.3442951006280603
7.355226235E8	2.2634093315984924
7.425611175E8	2.2411264398321573
7.495996115E8	2.2452608469936894
7.566381055E8	2.247220072930374
7.636765995E8	2.253943812412144
7.683379745E8	2.201168345404368
7.718572215E8	2.37438028975411
7.777535875E8	2.2548734146821747
7.847920815E8	2.2504314133108587
7.918305755E8	2.2587184133424
7.988690695E8	2.2585023159783897
8.059075635E8	2.2968612319624055
8.129460575E8	2.2939722616798424
8.199845515E8	2.226622484866791
8.270230455E8	2.2363701666862257
8.340615395E8	2.216286751114656
8.411000335E8	2.4488106404580297
8.481385275E8	4.118897167490659
8.551770215E8	2.8557015179667697
8.622155155E8	2.485846688226203
8.692540095E8	7.081712508386027
8.762925035E8	4.88973990742906
8.833309975E8	2.4786451476693734
8.903694915E8	2.210095511909224
8.974079855E8	2.6005227822883703
9.044464795E8	2.400166853875275
9.114849735E8	2.301416609860007
9.185234675E8	2.256738586407831
9.255619615E8	2.2227281858874925
9.326004555E8	2.238536965436072
9.396389495E8	2.283669063296779
9.442718855E8	2.2299856602696084
9.477911325E8	2.2559663911657917
9.537159375E8	2.2298903714345713
9.607544315E8	2.24152922485975
9.677929255E8	2.223862093226193
9.748314195E8	2.2784420928681617
9.818699135E8	2.2642696008549557
9.889084075E8	2.2401164226324553
9.959469015E8	2.24384605570453
1.0029853955E9	2.3140848028001444
1.0100238895E9	2.26124906833763
1.0170623835E9	2.2535407432328562
1.0241008775E9	2.2562258346742925
1.0311393715E9	2.473358505384817
1.0381778655E9	2.2663196132581773
1.0452163595E9	2.26637573321793
1.0522548535E9	2.253538327943449
1.0592933475E9	2.265528108711892
1.0663318415E9	2.2328178442718003
1.0733703355E9	2.2816797172804297
1.0804088295E9	2.317643092400164
1.0874473235E9	2.3327900826512034
1.0944858175E9	2.248996731403053
1.1015243115E9	2.187051519827963
1.106347486E9	2.6614792616920804
1.109866733E9	2.284063991672533
1.1156012995E9	2.2474577658232002
1.1226397935E9	2.245873762199698
1.1296782875E9	2.2366641216146523
1.1367167815E9	2.26991541088193
1.1437552755E9	2.2544706296545822
1.1507937695E9	2.255478941944115
1.1578322635E9	2.2651183619677733
1.1648707575E9	2.240466639596482
1.1719092515E9	2.2814418823117557
1.1789477455E9	2.2555192914847977
1.1859862395E9	2.2628333561128278
1.1930247335E9	2.25972629940439
1.2000632275E9	2.2305827070393183
1.2071017215E9	2.2574644519125826
1.2141402155E9	2.2317362208449705
1.2211787095E9	2.2297403393396373
1.2282172035E9	2.281331631454115
1.2352556975E9	4.206852772766447
1.2422941915E9	2.2841764161481133
1.2493326855E9	2.223254434826541
1.2563711795E9	2.2158829715561312
1.2612678865E9	2.632125070782455
1.2647871335E9	2.2781779887542504
1.2704481675E9	2.2604962084218583
1.2774866615E9	2.291412339060032
1.2845251555E9	2.2322052132174868
1.2915636495E9	2.236198254910781
1.2986021435E9	2.254379132808808
1.3056406375E9	2.2840276627358067
1.3126791315E9	2.255496985576744
1.3197176255E9	2.2610412113727736
1.3267561195E9	2.236676908440925
1.3337946135E9	2.5886588807207906
1.3408331075E9	2.2547728249821626
1.3478716015E9	2.2405663768414095
1.3549100955E9	2.261072752210913
1.3619485895E9	2.21717174156858
