Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
SCCA1011_merged_flagstats						181599326	170987935								
SCCA1011_merged_qualimap								40.71206644012538	286	98.53166223674123	67.36673129542038	17.68353722516808	2.9401435996079712	1.4388140415874435	6
SCCA1012_merged	9.0163	94.09249174552801	179560875.0	190834435.0	1.37										
SCCA1012_merged_flagstats						191907439	180633879								
SCCA1012_merged_qualimap								40.790363786233065	323	98.86512182286009	73.19726720542745	20.663391174759873	3.0221632287597076	1.4856567245034846	6
SCCA1017_merged	10.2129	94.65816997257365	203513443.0	214998286.0	1.5										
SCCA1017_merged_flagstats						216694002	205209159								
SCCA1017_merged_qualimap								40.224196413491	271	98.75204590860183	73.39874131356542	23.886757687436635	4.087220659335133	2.1380712375868027	7
SCCA1018_merged	7.9556	93.9347345493047	159829081.0	170149074.0	1.43										
SCCA1018_merged_flagstats						171357695	161037702								
SCCA1018_merged_qualimap								40.98569465383683	275	98.05293081583822	61.723829584757304	15.340232723918334	2.6800012611847013	1.2810152003032906	5
SCCA1020_merged	9.6526	93.71365439324012	193239931.0	206202535.0	1.41										
SCCA1020_merged_flagstats						207632391	194669787								
SCCA1020_merged_qualimap								40.60887309796049	315	98.96464111060732	75.40805659470601	22.64583323313589	3.466319608964131	1.7808706146970095	7
SCCA1026_merged	7.2269	94.21799847727434	144138052.0	152983564.0	1.4200000000000002										
SCCA1026_merged_flagstats						154005675	145160163								
