Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
scca0551_116_077_S99_L003_R1_001	scca0551_116_077_S99_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46733412.0	0.0	151.0	41.0	86.17479862784347	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
scca0551_116_077_S99_L003_R2_001	scca0551_116_077_S99_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46733412.0	0.0	151.0	41.0	86.63683275432814	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	fail
scca0554_097_096_S123_L003_R1_001	scca0554_097_096_S123_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40453387.0	0.0	151.0	40.0	88.46787738748888	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
scca0554_097_096_S123_L003_R2_001	scca0554_097_096_S123_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40453387.0	0.0	151.0	40.0	88.5710645096786	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	fail
scca0561_164_029_S24_L001_R1_001	scca0561_164_029_S24_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48157436.0	0.0	151.0	42.0	93.61905624237946	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
scca0561_164_029_S24_L001_R2_001	scca0561_164_029_S24_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48157436.0	0.0	151.0	42.0	93.64237386554073	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	fail
scca0583_152_041_S25_L001_R1_001	scca0583_152_041_S25_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56776133.0	0.0	151.0	40.0	91.01067764309347	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
scca0583_152_041_S25_L001_R2_001	scca0583_152_041_S25_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56776133.0	0.0	151.0	40.0	91.29525502316514	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
scca0586_140_053_S26_L001_R1_001	scca0586_140_053_S26_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51678461.0	0.0	151.0	41.0	92.32661857772713	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
scca0586_140_053_S26_L001_R2_001	scca0586_140_053_S26_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51678461.0	0.0	151.0	42.0	92.36890134105128	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	fail
scca0587_128_065_S27_L001_R1_001	scca0587_128_065_S27_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54779152.0	0.0	151.0	40.0	91.97512837593004	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
scca0587_128_065_S27_L001_R2_001	scca0587_128_065_S27_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54779152.0	0.0	151.0	40.0	92.08506476753907	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	fail
scca1001_166_027_S29_L001_R1_001	scca1001_166_027_S29_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40895008.0	0.0	151.0	40.0	89.96463255164431	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
scca1001_166_027_S29_L001_R2_001	scca1001_166_027_S29_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40895008.0	0.0	151.0	40.0	90.70963457536052	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
scca1025_155_038_S22_L001_R1_001	scca1025_155_038_S22_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40075650.0	0.0	151.0	40.0	89.7807777569305	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
scca1025_155_038_S22_L001_R2_001	scca1025_155_038_S22_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40075650.0	0.0	151.0	40.0	90.36013976242289	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
scca1029_154_039_S30_L001_R1_001	scca1029_154_039_S30_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41509810.0	0.0	151.0	40.0	89.14913900291093	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
scca1029_154_039_S30_L001_R2_001	scca1029_154_039_S30_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41509810.0	0.0	151.0	40.0	89.77119572431812	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail
scca1039_142_051_S31_L001_R1_001	scca1039_142_051_S31_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34732525.0	0.0	151.0	40.0	91.33779700178	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	warn
scca1039_142_051_S31_L001_R2_001	scca1039_142_051_S31_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34732525.0	0.0	151.0	40.0	91.94961860873167	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	warn
scca1046_143_050_S23_L001_R1_001	scca1046_143_050_S23_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45297261.0	0.0	151.0	40.0	90.01435282896153	151.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	fail
scca1046_143_050_S23_L001_R2_001	scca1046_143_050_S23_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45297261.0	0.0	151.0	41.0	90.4332508032087	151.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	fail
