Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
SQT056_unpaired_flagstats	8563546	0	0	0	28671	0	0	0	7071723	0	82.58	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	8563546
SQT096_paired_flagstats	79195644	0	0	0	374838	0	0	0	72985105	0	92.16	nan	78820806	0	39410403	0	39410403	0	67910862	0	86.16	nan	69377604	0	3232663	0	4.1	nan	1156108	0	672274	0	79195644
SQT096_unpaired_flagstats	6184525	0	0	0	16072	0	0	0	4682431	0	75.71	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	6184525
SQT118_paired_flagstats	84685352	0	0	0	817008	0	0	0	78641139	0	92.86	nan	83868344	0	41934172	0	41934172	0	71641768	0	85.42	nan	74672478	0	3151653	0	3.76	nan	2639208	0	1850494	0	84685352
SQT118_unpaired_flagstats	9537482	0	0	0	32920	0	0	0	7784807	0	81.62	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	9537482
SQT121_paired_flagstats	60104372	0	0	0	592580	0	0	0	55575120	0	92.46	nan	59511792	0	29755896	0	29755896	0	50373178	0	84.64	nan	52641214	0	2341326	0	3.93	nan	1996086	0	1411869	0	60104372
SQT121_unpaired_flagstats	5918335	0	0	0	20176	0	0	0	4683134	0	79.13	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	5918335
scaa0503_paired_flagstats	69932711	0	0	0	459063	0	0	0	64783964	0	92.64	nan	69473648	0	34736824	0	34736824	0	59903550	0	86.22	nan	61628514	0	2696387	0	3.88	nan	1388110	0	879955	0	69932711
scaa0503_unpaired_flagstats	10071550	0	0	0	28228	0	0	0	8431097	0	83.71	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	10071550
scca0200_paired_flagstats	86701373	0	0	0	3281115	0	0	0	83177267	0	95.94	nan	83420258	0	41710129	0	41710129	0	67329144	0	80.71	nan	77774070	0	2122082	0	2.54	nan	9652700	0	7382670	0	86701373
scca0200_unpaired_flagstats	13432194	0	0	0	96601	0	0	0	12168244	0	90.59	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	13432194
